,ProbablyMeantGSTerm,SemanticType,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,adjustedQueryTerm,preferredTerm,ui
521,neutropenia,Disease or Syndrome,521,521,521,521,521,521,521,neutropen,Leukopenia,C0023530
523,wernicke encephalopathy,Disease or Syndrome,523,523,523,523,523,523,523,wernickies encephalkopathy,Wernicke Encephalopathy,C0043121
529,william syndrome,Disease or Syndrome,529,529,529,529,529,529,529,william syndrom,Williams Syndrome,C0175702
535,parkinson,Disease or Syndrome,535,535,535,535,535,535,535,parkison,Parkinson Disease,C0030567
536,parkinson disease,Disease or Syndrome,536,536,536,536,536,536,536,parkison disease,Parkinson Disease,C0030567
542,coronary heart disease,Disease or Syndrome,542,542,542,542,542,542,542,coronary heart disease diet,Coronary Arteriosclerosis,C0010054
570,hypertension arterial,Disease or Syndrome,570,570,570,570,570,570,570,hipertension arterial,Hypertensive disease,C0020538
575,bronchial asthma,Disease or Syndrome,575,575,575,575,575,575,575,broncial asthma,Asthma,C0004096
576,gonorrhea,Disease or Syndrome,576,576,576,576,576,576,576,gonorrea,Gonorrhea,C0018081
588,fibromyalgia,Disease or Syndrome,588,588,588,588,588,588,588,fibromialgia,Fibromyalgia,C0016053
589,cardiac failure,Disease or Syndrome,589,589,589,589,589,589,589,cardic failure,Heart failure,C0018801
590,cerebral palsy,Disease or Syndrome,590,590,590,590,590,590,590,cerbral palsy,Cerebral Palsy,C0007789
591,guillain barre syndrome,Disease or Syndrome,591,591,591,591,591,591,591,guillan barre syndrom,Guillain-Barre Syndrome,C0018378
592,wernicke encephalopathy,Disease or Syndrome,592,592,592,592,592,592,592,wernikes encephalopathy,Wernicke Encephalopathy,C0043121
595,primary biliary cirrhosis,Disease or Syndrome,595,595,595,595,595,595,595,primary biliary cirrohsis,Primary biliary cirrhosis,C0008312
603,crohns disease,Disease or Syndrome,603,603,603,603,603,603,603,crhons disease,Crohn Disease,C0010346
606,hepatitis a,Disease or Syndrome,606,606,606,606,606,606,606,hepatits a,Hepatitis A,C0019159
609,childhood obesity,Disease or Syndrome,609,609,609,609,609,609,609,child hood obesity,Pediatric Obesity,C2362324
613,morquio syndrome,Disease or Syndrome,613,613,613,613,613,613,613,mosquito syndrome,Mucopolysaccharidosis IV,C0026707
616,cholesteatoma,Disease or Syndrome,616,616,616,616,616,616,616,colesteatoma,Cholesteatoma,C0008373
617,thalassemia,Disease or Syndrome,617,617,617,617,617,617,617,talasemia,Thalassemia,C0039730
622,bloom syndrome,Disease or Syndrome,622,622,622,622,622,622,622,bloom syndrom,Bloom Syndrome,C0005859
628,pemphigus vulgaris,Disease or Syndrome,628,628,628,628,628,628,628,pemphigus vulgrais,Pemphigus Vulgaris,C0030809
629,neonatal infection,Disease or Syndrome,629,629,629,629,629,629,629,neonatale infection,Neonatal infection,C0854706
630,parapsoriasis,Disease or Syndrome,630,630,630,630,630,630,630,parapsoriasi,Parapsoriasis,C0030491
633,renal insufficiency,Disease or Syndrome,633,633,633,633,633,633,633,renal insuffciency,Kidney Failure,C0035078
636,obesity and children,Disease or Syndrome,636,636,636,636,636,636,636,obesity among children,Pediatric Obesity,C2362324
640,polyneuropathy,Disease or Syndrome,640,640,640,640,640,640,640,polyneuropaty,Polyneuropathy,C0152025
641,serotonin syndrome,Disease or Syndrome,641,641,641,641,641,641,641,seratonin syndrome,Malignant Carcinoid Syndrome,C0024586
647,meralgia paresthetica,Disease or Syndrome,647,647,647,647,647,647,647,myalgia paraesthetica,Meralgia paresthetica,C0152110
648,tuberculosis,Disease or Syndrome,648,648,648,648,648,648,648,tubercolosis,Tuberculosis,C0041296
655,hepatitis,Disease or Syndrome,655,655,655,655,655,655,655,hepatitisb,Hepatitis,C0019158
656,hepatitis,Disease or Syndrome,656,656,656,656,656,656,656,hepatits,Hepatitis,C0019158
659,hepatitis c,Disease or Syndrome,659,659,659,659,659,659,659,heptatitis c,Hepatitis C,C0019196
662,achromatopsia,Disease or Syndrome,662,662,662,662,662,662,662,acromatopsia,Achromatopsia,C0152200
663,ketoacidosis diabetic,Disease or Syndrome,663,663,663,663,663,663,663,cetoacidosis diabetica,Diabetic Ketoacidosis,C0011880
675,tenosynovitis,Disease or Syndrome,675,675,675,675,675,675,675,ra tenosynovitis,Tenosynovitis,C0039520
676,cytomegalovirus,Disease or Syndrome,676,676,676,676,676,676,676,citomegalovirus,Cytomegalovirus Infections,C0010823
680,high blood pressure,Disease or Syndrome,680,680,680,680,680,680,680,high blood perssure,Hypertensive disease,C0020538
681,stretching,Disease or Syndrome,681,681,681,681,681,681,681,streatching,Spastic syndrome,C0270814
689,nervous system diseases,Disease or Syndrome,689,689,689,689,689,689,689,nevous system diseases,nervous system disorder,C0027765
691,tardive akathisia,Disease or Syndrome,691,691,691,691,691,691,691,tartive akathisia,"Akathisia, Tardive",C0162549
692,dentin sensitivity,Disease or Syndrome,692,692,692,692,692,692,692,dentin senstivty,Dentin Sensitivity,C0011432
698,tendinitis patellar,Disease or Syndrome,698,698,698,698,698,698,698,tendinitis patelar,Patellar tendonitis,C0158317
703,gastritis,Disease or Syndrome,703,703,703,703,703,703,703,gatritis,Gastritis,C0017152
706,hypercholesterolemia,Disease or Syndrome,706,706,706,706,706,706,706,hipercolesterolemia,Hypercholesterolemia,C0020443
710,sarcoidosis,Disease or Syndrome,710,710,710,710,710,710,710,sarcoidosid,Sarcoidosis,C0036202
713,syndrome down,Disease or Syndrome,713,713,713,713,713,713,713,syndrom down,Down Syndrome,C0013080
717,niemann pick,Disease or Syndrome,717,717,717,717,717,717,717,nieman pick,Niemann-Pick Diseases,C0028064
718,syringomyelia,Disease or Syndrome,718,718,718,718,718,718,718,syryngomyelia,Syringomyelia,C0039144
721,carpal tunnel syndrome,Disease or Syndrome,721,721,721,721,721,721,721,carpal tunnel syndrome rct,Carpal Tunnel Syndrome,C0007286
722,cardiovascular diseases,Disease or Syndrome,722,722,722,722,722,722,722,cardivascular diseases,Cardiovascular Diseases,C0007222
725,coronary heart disease,Disease or Syndrome,725,725,725,725,725,725,725,coronary heart dosease,Coronary Arteriosclerosis,C0010054
726,klinefelter syndrome,Disease or Syndrome,726,726,726,726,726,726,726,cat klinefelter syndrome,Klinefelter Syndrome,C0022735
727,retroperitoneal mass,Disease or Syndrome,727,727,727,727,727,727,727,retroperineal mass,Retroperitoneal mass,C0267771
730,multiple sclerosis,Disease or Syndrome,730,730,730,730,730,730,730,multiple sclerosis mri,Multiple Sclerosis,C0026769
733,morquio syndrome,Disease or Syndrome,733,733,733,733,733,733,733,morquoi syndrome,Mucopolysaccharidosis IV,C0026707
734,slap lesion,Disease or Syndrome,734,734,734,734,734,734,734,slap 2 lesion,slap lesion,C0949191
735,guillain barre,Disease or Syndrome,735,735,735,735,735,735,735,guillan barre,Guillain-Barre Syndrome,C0018378
737,guillain barre syndrome,Disease or Syndrome,737,737,737,737,737,737,737,guilliain barre syndrome,Guillain-Barre Syndrome,C0018378
738,guillain barre,Disease or Syndrome,738,738,738,738,738,738,738,guillian barre,Guillain-Barre Syndrome,C0018378
743,cardiac amyloidosis,Disease or Syndrome,743,743,743,743,743,743,743,cardiac amyliodosis,Senile cardiac amyloidosis,C0268407
745,gluten sensitivity,Disease or Syndrome,745,745,745,745,745,745,745,gluten sensivity,Gluten sensitivity,C0850024
746,cerebral palsy,Disease or Syndrome,746,746,746,746,746,746,746,cerebral pulsy,Cerebral Palsy,C0007789
747,cerebral palsy,Disease or Syndrome,747,747,747,747,747,747,747,cerebral palcy,Cerebral Palsy,C0007789
753,glaucoma,Disease or Syndrome,753,753,753,753,753,753,753,glacoma,Glaucoma,C0017601
758,rhinitis,Disease or Syndrome,758,758,758,758,758,758,758,rinitis,Rhinitis,C0035455
763,cats cry syndrome,Disease or Syndrome,763,763,763,763,763,763,763,cats cry syndrom,Cri-du-Chat Syndrome,C0010314
766,diphtheria,Disease or Syndrome,766,766,766,766,766,766,766,cdiphtheria,Diphtheria,C0012546
767,conjunctivitis,Disease or Syndrome,767,767,767,767,767,767,767,conjuntivitis,Conjunctivitis,C0009763
769,crohns disease,Disease or Syndrome,769,769,769,769,769,769,769,chrons disease,Crohn Disease,C0010346
773,chronic diarrhea,Disease or Syndrome,773,773,773,773,773,773,773,chronic diarroea,Chronic diarrhea,C0401151
778,hepatitis c,Disease or Syndrome,778,778,778,778,778,778,778,hepatitiis c,Hepatitis C,C0019196
784,pneumothorax,Disease or Syndrome,784,784,784,784,784,784,784,neumotorax,Pneumothorax,C0032326
789,hemorrhoids,Disease or Syndrome,789,789,789,789,789,789,789,hemerrhoids,Hemorrhoids,C0019112
795,morbilli,Disease or Syndrome,795,795,795,795,795,795,795,morbili,Measles,C0025007
803,gingivitis,Disease or Syndrome,803,803,803,803,803,803,803,gengivitis,Gingivitis,C0017574
807,cholinergic urticaria,Disease or Syndrome,807,807,807,807,807,807,807,cholinergicurticaria,Cholinergic urticaria,C0152230
808,radicular cyst,Disease or Syndrome,808,808,808,808,808,808,808,redicular cyst,Radicular Cyst,C0034543
809,thalassemia,Disease or Syndrome,809,809,809,809,809,809,809,thalasaemia,Thalassemia,C0039730
813,pompes disease,Disease or Syndrome,813,813,813,813,813,813,813,pompeis disease,Glycogen storage disease type II,C0017921
816,parkinson disease,Disease or Syndrome,816,816,816,816,816,816,816,parkinson desease,Parkinson Disease,C0030567
819,paraplegia,Disease or Syndrome,819,819,819,819,819,819,819,paraplegie,Paraplegia,C0030486
820,alzheimers disease,Disease or Syndrome,820,820,820,820,820,820,820,alzheimers diseas,Alzheimer's Disease,C0002395
825,iron overload,Disease or Syndrome,825,825,825,825,825,825,825,iron overlaod,Iron Overload,C0282193
829,alcohol fetal syndrome,Disease or Syndrome,829,829,829,829,829,829,829,alcohol fetal sybdrome,Fetal Alcohol Syndrome,C0015923
833,paludism,Disease or Syndrome,833,833,833,833,833,833,833,paludisme,Malaria,C0024530
837,pancreatic insufficiency,Disease or Syndrome,837,837,837,837,837,837,837,pancreatic insuficienci,Pancreatic Insufficiency,C0030293
841,palindromic rheumatism,Disease or Syndrome,841,841,841,841,841,841,841,paldromic reumatisme,Palindromic rheumatism,C0085574
844,diabetes,Disease or Syndrome,844,844,844,844,844,844,844,diiabetes,Diabetes,C0011847
856,kidney stones,Disease or Syndrome,856,856,856,856,856,856,856,kindey stones,Kidney Calculi,C0022650
857,periodontal disease,Disease or Syndrome,857,857,857,857,857,857,857,periodontal diseñase,Gingival Diseases,C0017563
859,ehlers-danlos syndrome,Disease or Syndrome,859,859,859,859,859,859,859,ehlers danos syndrome,Ehlers-Danlos Syndrome,C0013720
860,klinefelter,Disease or Syndrome,860,860,860,860,860,860,860,klinefleter,Klinefelter Syndrome,C0022735
862,endometriosis,Disease or Syndrome,862,862,862,862,862,862,862,endometrosis,Endometriosis,C0014175
863,leber amaurosis,Disease or Syndrome,863,863,863,863,863,863,863,leber amaurose,Leber Congenital Amaurosis,C0339527
873,dehydration,Disease or Syndrome,873,873,873,873,873,873,873,dyhydration,Dehydration,C0011175
874,acute cholecystitis,Disease or Syndrome,874,874,874,874,874,874,874,acute cholycystitis,Acute Cholecystitis,C0149520
882,osteoporosis,Disease or Syndrome,882,882,882,882,882,882,882,osteaporosis,Osteoporosis,C0029456
883,diabetes mellitus type 2,Disease or Syndrome,883,883,883,883,883,883,883,diabetes mell type 2,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860
885,diabetes insipidus,Disease or Syndrome,885,885,885,885,885,885,885,diabetes insipid,Diabetes Insipidus,C0011848
886,hypothyroid,Disease or Syndrome,886,886,886,886,886,886,886,hypothyroidie,Hypothyroidism,C0020676
888,malnutrition in children,Disease or Syndrome,888,888,888,888,888,888,888,malnutrition in chlderin,Child Malnutrition,C1257753
899,atrial fibrillation,Disease or Syndrome,899,899,899,899,899,899,899,atrial fibrilation,Atrial Fibrillation,C0004238
900,thromboangiitis,Disease or Syndrome,900,900,900,900,900,900,900,thromboangeiitis,Thromboangiitis,C0264941
903,hurlers syndrome,Disease or Syndrome,903,903,903,903,903,903,903,hurlers syndroime,Pfaundler-Hurler Syndrome,C0086795
904,diabetes mellitus type 2,Disease or Syndrome,904,904,904,904,904,904,904,diabetes mellitus tipo 2,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860
907,arthritis rheumatoid,Disease or Syndrome,907,907,907,907,907,907,907,artbritis rheumatoid,Rheumatoid Arthritis,C0003873
908,osteoarthritis,Disease or Syndrome,908,908,908,908,908,908,908,osteoartritis,Degenerative polyarthritis,C0029408
914,diabetes mellitus type 2,Disease or Syndrome,914,914,914,914,914,914,914,diabete mellitus type 2,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860
915,diabetes mellitus,Disease or Syndrome,915,915,915,915,915,915,915,diabete mellitus 2,Diabetes Mellitus,C0011849
916,osteopathy,Disease or Syndrome,916,916,916,916,916,916,916,osteophaty,Bone Diseases,C0005940
917,non-wound healing,Disease or Syndrome,917,917,917,917,917,917,917,non-woundhealing,"Wound, non-healed",C0750433
920,osteoporosis,Disease or Syndrome,920,920,920,920,920,920,920,osteoporois,Osteoporosis,C0029456
922,genital warts,Disease or Syndrome,922,922,922,922,922,922,922,nongenital warts,Condylomata Acuminata,C0009663
923,non ischemic cardiomyopathy,Disease or Syndrome,923,923,923,923,923,923,923,non ischemiccardiomyopathy,Non-ischemic cardiomyopathy,C0877438
925,optic nerve drusen,Disease or Syndrome,925,925,925,925,925,925,925,optic nerve drussen,Optic Disk Drusen,C0029128
933,opportunistic infections,Disease or Syndrome,933,933,933,933,933,933,933,opportonistic infections,Opportunistic Infections,C0029118
938,osteoporosis,Disease or Syndrome,938,938,938,938,938,938,938,osteoporsis,Osteoporosis,C0029456
948,pericoronitis,Disease or Syndrome,948,948,948,948,948,948,948,pericoronaritis,Pericoronitis,C0031055
949,periodontitis,Disease or Syndrome,949,949,949,949,949,949,949,peri-odontitis,Periodontitis,C0031099
951,osgood schlatter,Disease or Syndrome,951,951,951,951,951,951,951,osgood schlater,Juvenile osteochondrosis of tibial tubercle,C0029376
952,osgood schlatter,Disease or Syndrome,952,952,952,952,952,952,952,osgood slatter,Juvenile osteochondrosis of tibial tubercle,C0029376
953,peptic ulcer,Disease or Syndrome,953,953,953,953,953,953,953,peptic upcer,Peptic Ulcer,C0030920
959,peripheral neuropathy,Disease or Syndrome,959,959,959,959,959,959,959,peripheral nueropathy,Peripheral Neuropathy,C0031117
965,orthostatic hypotension,Disease or Syndrome,965,965,965,965,965,965,965,orthostatic hypotension data,"Hypotension, Orthostatic",C0020651
970,osteoarthrosis,Disease or Syndrome,970,970,970,970,970,970,970,osteoartrosis,Degenerative polyarthritis,C0029408
971,osteoarthritis,Disease or Syndrome,971,971,971,971,971,971,971,osteoarthritits,Degenerative polyarthritis,C0029408
974,osteomyelitis,Disease or Syndrome,974,974,974,974,974,974,974,osteomylitis,Osteomyelitis,C0029443
976,osteoporosis,Disease or Syndrome,976,976,976,976,976,976,976,osstoporosis,Osteoporosis,C0029456
978,penicillin allergy,Disease or Syndrome,978,978,978,978,978,978,978,penicillian allrrgy,Allergy to penicillin,C0030824
979,orbital cellulitis,Disease or Syndrome,979,979,979,979,979,979,979,orbital celullitis,Orbital Cellulitis,C0149507
985,oral mucositis,Disease or Syndrome,985,985,985,985,985,985,985,oral mucositis ,Stomatitis,C0038362
986,pelvic congestion syndrome,Disease or Syndrome,986,986,986,986,986,986,986,pelvic congestin syndrome,Pelvic congestion syndrome,C0152078
987,osteoarthritis,Disease or Syndrome,987,987,987,987,987,987,987,osteoarthrisits,Degenerative polyarthritis,C0029408
988,osteoarthritis,Disease or Syndrome,988,988,988,988,988,988,988,osteo arthritis,Degenerative polyarthritis,C0029408
990,osteoarthritis,Disease or Syndrome,990,990,990,990,990,990,990,osteoarthritids,Degenerative polyarthritis,C0029408
991,osteoarthritis,Disease or Syndrome,991,991,991,991,991,991,991,osteoarthristis,Degenerative polyarthritis,C0029408
993,obesity,Disease or Syndrome,993,993,993,993,993,993,993,obesitty,Obesity,C0028754
997,obesity children,Disease or Syndrome,997,997,997,997,997,997,997,obesity or children,Pediatric Obesity,C2362324
998,obesity in children,Disease or Syndrome,998,998,998,998,998,998,998,obesity in childrens,Pediatric Obesity,C2362324
1007,parasite infections,Disease or Syndrome,1007,1007,1007,1007,1007,1007,1007,parasite infection test,Parasitic Diseases,C0030499
1012,paraplegia,Disease or Syndrome,1012,1012,1012,1012,1012,1012,1012,paraplegija,Paraplegia,C0030486
1021,pancreatitis,Disease or Syndrome,1021,1021,1021,1021,1021,1021,1021,pancreatitishj,Pancreatitis,C0030305
1024,obstructive lung diseases,Disease or Syndrome,1024,1024,1024,1024,1024,1024,1024,obstructivelungdiseases,"Lung Diseases, Obstructive",C0600260
1025,obstructive lung disease,Disease or Syndrome,1025,1025,1025,1025,1025,1025,1025,obstructivelungdisease,"Lung Diseases, Obstructive",C0600260
1026,obstructive lung disease,Disease or Syndrome,1026,1026,1026,1026,1026,1026,1026,obstructive lunge disease,"Lung Diseases, Obstructive",C0600260
1030,obesity,Disease or Syndrome,1030,1030,1030,1030,1030,1030,1030,obsesity,Obesity,C0028754
1034,onychomycosis,Disease or Syndrome,1034,1034,1034,1034,1034,1034,1034,onychomycocsis,Onychomycosis,C0040261
1036,obesity,Disease or Syndrome,1036,1036,1036,1036,1036,1036,1036,oobesity,Obesity,C0028754
1042,patellofemoral pain syndrome,Disease or Syndrome,1042,1042,1042,1042,1042,1042,1042,patella femoral pain syndrome,Patellofemoral Pain Syndrome,C0877149
1043,patellofemoral pain syndrome,Disease or Syndrome,1043,1043,1043,1043,1043,1043,1043,patellafemoral pain syndrome,Patellofemoral Pain Syndrome,C0877149
1049,intestinal obstruction,Disease or Syndrome,1049,1049,1049,1049,1049,1049,1049,ntestinal obstruction,Intestinal Obstruction,C0021843
1056,ovarian abcess,Disease or Syndrome,1056,1056,1056,1056,1056,1056,1056,ovarian abcessivf,Abscess of ovary,C0269035
1057,ovarian cyst,Disease or Syndrome,1057,1057,1057,1057,1057,1057,1057,ovarian cys,Ovarian Cysts,C0029927
1061,parkinsons disease,Disease or Syndrome,1061,1061,1061,1061,1061,1061,1061,parkinsons disase,Parkinson Disease,C0030567
1065,parotiditis,Disease or Syndrome,1065,1065,1065,1065,1065,1065,1065,parotiditos,Parotitis,C0030583
1067,parodontitis,Disease or Syndrome,1067,1067,1067,1067,1067,1067,1067,parodontit,Periodontitis,C0031099
1075,pneumonia in measles,Disease or Syndrome,1075,1075,1075,1075,1075,1075,1075,oneumonia in measles,Measles pneumonia,C0339976
1082,lung abscess,Disease or Syndrome,1082,1082,1082,1082,1082,1082,1082,lung abcess,Lung Abscess,C0024110
1085,peristomal abscess,Disease or Syndrome,1085,1085,1085,1085,1085,1085,1085,lperistomal abscess,Peristomal abscess,C0341599
1088,lymphocytic colitis,Disease or Syndrome,1088,1088,1088,1088,1088,1088,1088,lymphocyctic colitis,"Colitis, Lymphocytic",C0400822
1093,lipodystrophy,Disease or Syndrome,1093,1093,1093,1093,1093,1093,1093,lypodystrophy,Lipodystrophy,C0023787
1094,lung disease,Disease or Syndrome,1094,1094,1094,1094,1094,1094,1094,lung dfisease,Lung diseases,C0024115
1095,lung diseases obstructive,Disease or Syndrome,1095,1095,1095,1095,1095,1095,1095,lung diseasesobstructive-,"Lung Diseases, Obstructive",C0600260
1096,lung disease,Disease or Syndrome,1096,1096,1096,1096,1096,1096,1096,lung dissease,Lung diseases,C0024115
1098,lung diseases obstructive,Disease or Syndrome,1098,1098,1098,1098,1098,1098,1098,lungdiseasesobstructive,"Lung Diseases, Obstructive",C0600260
1101,liver cirrhosis,Disease or Syndrome,1101,1101,1101,1101,1101,1101,1101,liver cirrhosi,Liver Cirrhosis,C0023890
1104,liver cirrhosis,Disease or Syndrome,1104,1104,1104,1104,1104,1104,1104,liver cirrosis,Liver Cirrhosis,C0023890
1107,lou gehrigs disease,Disease or Syndrome,1107,1107,1107,1107,1107,1107,1107,lou gherigs disease,Amyotrophic Lateral Sclerosis,C0002736
1114,marfan syndrome,Disease or Syndrome,1114,1114,1114,1114,1114,1114,1114,marphan syndrome,Marfan Syndrome,C0024796
1115,morquio syndromes,Disease or Syndrome,1115,1115,1115,1115,1115,1115,1115,marquio syndromes,Mucopolysaccharidosis IV,C0026707
1118,marfan syndrome,Disease or Syndrome,1118,1118,1118,1118,1118,1118,1118,marfan syndrom,Marfan Syndrome,C0024796
1138,malnutrition in children,Disease or Syndrome,1138,1138,1138,1138,1138,1138,1138,malnutrition in chlidren,Child Malnutrition,C1257753
1139,malignant hyperthermia,Disease or Syndrome,1139,1139,1139,1139,1139,1139,1139,malignant hypothermia,Malignant hyperpyrexia due to anesthesia,C0024591
1155,lateral epicondylitis,Disease or Syndrome,1155,1155,1155,1155,1155,1155,1155,lateral epicondyitis,Tennis Elbow,C0039516
1159,knee osteoarthritis,Disease or Syndrome,1159,1159,1159,1159,1159,1159,1159,knee ostearthritis,"Osteoarthritis, Knee",C0409959
1160,knee osteoarthritis,Disease or Syndrome,1160,1160,1160,1160,1160,1160,1160,knee and osteoarthritis,"Osteoarthritis, Knee",C0409959
1162,knee osteoarthritis,Disease or Syndrome,1162,1162,1162,1162,1162,1162,1162,knee osteoartrithis,"Osteoarthritis, Knee",C0409959
1185,leishmaniasis,Disease or Syndrome,1185,1185,1185,1185,1185,1185,1185,leishmaniosis,Leishmaniasis,C0023281
1186,leishmaniasis,Disease or Syndrome,1186,1186,1186,1186,1186,1186,1186,leismaniasis,Leishmaniasis,C0023281
1188,leg ulcers,Disease or Syndrome,1188,1188,1188,1188,1188,1188,1188,leg ulcer,Leg Ulcer,C0023223
1191,left-sided heart failure,Disease or Syndrome,1191,1191,1191,1191,1191,1191,1191,left sided heart failure,Left-Sided Heart Failure,C0023212
1193,ventricular hypertrophy,Disease or Syndrome,1193,1193,1193,1193,1193,1193,1193,left ventricular hypertrophy,Ventricular hypertrophy,C0340279
1202,leptospirosis,Disease or Syndrome,1202,1202,1202,1202,1202,1202,1202,leptopsirosis,Leptospirosis,C0023364
1203,muscular dystrophy,Disease or Syndrome,1203,1203,1203,1203,1203,1203,1203,musclar dystrophy,Muscular Dystrophy,C0026850
1204,morquio syndrome,Disease or Syndrome,1204,1204,1204,1204,1204,1204,1204,murquio syndrome,Mucopolysaccharidosis IV,C0026707
1205,musculoskeletal disorders,Disease or Syndrome,1205,1205,1205,1205,1205,1205,1205,musculoskeltal disorders,Musculoskeletal Diseases,C0026857
1210,multiple sclerosis,Disease or Syndrome,1210,1210,1210,1210,1210,1210,1210,multiple scerosis,Multiple Sclerosis,C0026769
1211,multiple sclerosis diagnosis,Disease or Syndrome,1211,1211,1211,1211,1211,1211,1211,multiple sclerosis disgnosis,Multiple Sclerosis,C0026769
1212,multiple sclerosis,Disease or Syndrome,1212,1212,1212,1212,1212,1212,1212,multiple sclerosis vep,Multiple Sclerosis,C0026769
1214,myocardial bridges,Disease or Syndrome,1214,1214,1214,1214,1214,1214,1214,myocardial brige,Myocardial bridging,C0948355
1215,myocardial infarction,Disease or Syndrome,1215,1215,1215,1215,1215,1215,1215,myocardial infraction,Myocardial Infarction,C0027051
1219,myelopathy,Disease or Syndrome,1219,1219,1219,1219,1219,1219,1219,myelophaty,Bone Marrow Diseases,C0005956
1223,myotonic dystrophy,Disease or Syndrome,1223,1223,1223,1223,1223,1223,1223,mytonic dystrophy,Myotonic Dystrophy,C0027126
1228,muscle weakness,Disease or Syndrome,1228,1228,1228,1228,1228,1228,1228,mussle weakness,Paresis,C0030552
1229,myasthenia,Disease or Syndrome,1229,1229,1229,1229,1229,1229,1229,myaasthenia,Myasthenias,C0947912
1230,myasthenia gravis,Disease or Syndrome,1230,1230,1230,1230,1230,1230,1230,myastenia gravis,Myasthenia Gravis,C0026896
1231,myasthenia,Disease or Syndrome,1231,1231,1231,1231,1231,1231,1231,myas,Myasthenias,C0947912
1232,myasthenias gravis,Disease or Syndrome,1232,1232,1232,1232,1232,1232,1232,myathenias gravis,Myasthenia Gravis,C0026896
1235,multiple sclerosis,Disease or Syndrome,1235,1235,1235,1235,1235,1235,1235,mutiple sclerosis,Multiple Sclerosis,C0026769
1237,multiple sclerosis,Disease or Syndrome,1237,1237,1237,1237,1237,1237,1237,mutliple sclerosis,Multiple Sclerosis,C0026769
1240,morbus basedow,Disease or Syndrome,1240,1240,1240,1240,1240,1240,1240,morbus basedkw,Graves Disease,C0018213
1241,morquio syndrome,Disease or Syndrome,1241,1241,1241,1241,1241,1241,1241,morqio syndrome,Mucopolysaccharidosis IV,C0026707
1242,morquio syndrome,Disease or Syndrome,1242,1242,1242,1242,1242,1242,1242,morqoio syndrome,Mucopolysaccharidosis IV,C0026707
1243,morquio syndrome,Disease or Syndrome,1243,1243,1243,1243,1243,1243,1243,morquio sundrome,Mucopolysaccharidosis IV,C0026707
1244,morquio syndrome,Disease or Syndrome,1244,1244,1244,1244,1244,1244,1244,morquio syndromr,Mucopolysaccharidosis IV,C0026707
1245,morquio syndrome,Disease or Syndrome,1245,1245,1245,1245,1245,1245,1245,morquio syndromrome,Mucopolysaccharidosis IV,C0026707
1246,morquio syndrome,Disease or Syndrome,1246,1246,1246,1246,1246,1246,1246,morquio syndrum,Mucopolysaccharidosis IV,C0026707
1247,morquio syndrome,Disease or Syndrome,1247,1247,1247,1247,1247,1247,1247,morguio syndrome,Mucopolysaccharidosis IV,C0026707
1257,morbilli,Disease or Syndrome,1257,1257,1257,1257,1257,1257,1257,mrbilli,Measles,C0025007
1259,morquio syndrome,Disease or Syndrome,1259,1259,1259,1259,1259,1259,1259,mosquio syndrome,Mucopolysaccharidosis IV,C0026707
1262,neuroacanthocytosis,Disease or Syndrome,1262,1262,1262,1262,1262,1262,1262,neuroacanthocythosis,Chorea Acanthocytosis Syndrome,C0393576
1266,neuropathy,Disease or Syndrome,1266,1266,1266,1266,1266,1266,1266,neurapathy,Neuropathy,C0442874
1268,neuroleptic malignant syndrome,Disease or Syndrome,1268,1268,1268,1268,1268,1268,1268,neuroleptic malignant syndrom,Neuroleptic Malignant Syndrome,C0027849
1269,neuroleptic malignant syndrome,Disease or Syndrome,1269,1269,1269,1269,1269,1269,1269,neuroleptic maligny siyndrom,Neuroleptic Malignant Syndrome,C0027849
1271,neurodegenerative diseases,Disease or Syndrome,1271,1271,1271,1271,1271,1271,1271,neurodegenerative diseases als,Neurodegenerative Disorders,C0524851
1279,nephrolithiasis,Disease or Syndrome,1279,1279,1279,1279,1279,1279,1279,nephrolihiasis,Kidney Calculi,C0022650
1283,neuromyotonia,Disease or Syndrome,1283,1283,1283,1283,1283,1283,1283,neuromytonia,Isaacs syndrome,C0242287
1286,neuropathy,Disease or Syndrome,1286,1286,1286,1286,1286,1286,1286,neuropaty,Neuropathy,C0442874
1289,neurosyphilis,Disease or Syndrome,1289,1289,1289,1289,1289,1289,1289,neurosyfhilis,Neurosyphilis,C0027927
1292,narcolepsy,Disease or Syndrome,1292,1292,1292,1292,1292,1292,1292,narcalepsy,Narcolepsy,C0027404
1294,nephropathy,Disease or Syndrome,1294,1294,1294,1294,1294,1294,1294,naphropathy,Kidney Diseases,C0022658
1297,nephrolithiasis,Disease or Syndrome,1297,1297,1297,1297,1297,1297,1297,nefrolithiasis,Kidney Calculi,C0022650
1307,meniere,Disease or Syndrome,1307,1307,1307,1307,1307,1307,1307,menier,Meniere Disease,C0025281
1308,meningitis,Disease or Syndrome,1308,1308,1308,1308,1308,1308,1308,meningits,Meningitis,C0025289
1312,melioidosis,Disease or Syndrome,1312,1312,1312,1312,1312,1312,1312,meiloidosis,Melioidosis,C0025229
