AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
azo-dyes,Azo Dyes,"Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0301161,,,
azo dye,Azo Dyes,"Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0301161,,,
aom,Azoxymethane,Organic Chemical|Hazardous or Poisonous Substance,C0004519,,,
azoxystrobin,azoxystrobin,Organic Chemical|Pharmacologic Substance,C1613399,,,
aztec,Aztec ethnic group,Population Group,C0337878,,,
aztecs,Aztec ethnic group,Population Group,C0337878,,,
b cell lymphoma,B-Cell Lymphomas,Neoplastic Process,C0079731,,,
b cell non-hodgkins lymphoma,B-Cell Lymphomas,Neoplastic Process,C0079731,,,
b complex,B-Complex,Organic Chemical|Vitamin|Pharmacologic Substance,C0939261,,,
b cell,B-Lymphocytes,Cell,C0004561,,,
b cells,B-Lymphocytes,Cell,C0004561,,,
b-cell,B-Lymphocytes,Cell,C0004561,,,
babinski,Babinski Reflex,Finding,C0034935,,,
baby boom,Baby Boom,Human-caused Phenomenon or Process,C0004578,,,
baccharis,Baccharis,Plant,C0331313,,,
bace1,BACE1 gene,Gene or Genome,C1412727,,,
bach and flowers,Bach Flower Remedies,Biologically Active Substance,C3850027,,,
bach1,BACH1 gene,Gene or Genome,C1412729,,,
bachelor nurse,Bachelor of Science in Nursing,Intellectual Product,C1549952,,,
bacillus,Bacillus <bacterium>,Bacterium,C0004587,,,
bacillus bacteria,Bacillus <bacterium>,Bacterium,C0004587,,,
bacillus anthracis,Bacillus anthracis,Bacterium,C0004589,,,
bacillus clausii,Bacillus clausii,Bacterium,C1034048,,,
bacillus coagulans,Bacillus coagulans,Bacterium,C0314879,,,
bacillus idriensis,Bacillus idriensis,Bacterium,C1941952,,,
bacillus licheniformis,Bacillus licheniformis,Bacterium,C0314875,,,
bacillus megaterium,Bacillus megaterium,Bacterium,C0004591,,,
aeribacillus pallidus,Bacillus pallidus,Bacterium,C0314918,,,
bacillus subtilis,Bacillus subtilis,Bacterium,C0004595,,,
bac,Bacitracin,"Amino Acid, Peptide, or Protein|Antibiotic",C0004599,,,
bacitracin,Bacitracin,"Amino Acid, Peptide, or Protein|Antibiotic",C0004599,,,
bacitracin polymixin,Bacitracin-Polymyxin,Organic Chemical|Antibiotic,C0718797,,,
anatomy of back,Back,Body Location or Region,C0004600,,,
back,Back,Body Location or Region,C0004600,,,
back injuries,Back Injuries,Injury or Poisoning,C0004601,,,
back injury,Back Injuries,Injury or Poisoning,C0004601,,,
back ache,Back Pain,Sign or Symptom,C0004604,,,
back pain,Back Pain,Sign or Symptom,C0004604,,,
backache,Back Pain,Sign or Symptom,C0004604,,,
backpain,Back Pain,Sign or Symptom,C0004604,,,
dorsalgia,Back Pain,Sign or Symptom,C0004604,,,
notalgia,Back Pain,Sign or Symptom,C0004604,,,
pain back,Back Pain,Sign or Symptom,C0004604,,,
back problems,Back problem,Finding,C0579085,,,
back surgery,Back surgery,Therapeutic or Preventive Procedure,C0741419,,,
baclofen,Baclofen,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0004609,,,
bacopa,Bacopa,Plant,C1040526,,,
bacopa monnieri,Bacopa monnieri,Plant,C1653429,,,
bacteremia,Bacteremia,Disease or Syndrome,C0004610,,,
bacteriemia,Bacteremia,Disease or Syndrome,C0004610,,,
bacteraemia,Bacteremia,Disease or Syndrome,C0004610,,,
bacteria,Bacteria,Bacterium,C0004611,,,
bacterias,Bacteria,Bacterium,C0004611,,,
bacterium,Bacteria,Bacterium,C0004611,,,
flesh eating bacteria,"Bacteria, Flesh-Eating",Bacterium,C0234893,,,
flesh-eating bacteria,"Bacteria, Flesh-Eating",Bacterium,C0234893,,,
16s rrna,Bacterial 16S RNA,"Nucleic Acid, Nucleoside, or Nucleotide",C3537372,,,
bacterial colonization,Bacterial colonisation,Finding,C2747813,,,
bacter,Bacterial Count Measurement,Laboratory Procedure,C0004618,,,
bacterial dysentery,Bacterial dysentery,Disease or Syndrome,C0589629,,,
infective endocarditis,Bacterial Endocarditis,Disease or Syndrome,C0014121,,,
bacterial infection,Bacterial Infections,Disease or Syndrome,C0004623,,,
bacterial infections,Bacterial Infections,Disease or Syndrome,C0004623,,,
bacterial resistance,Bacterial resistance,Pathologic Function,C0151521,,,
bacterial sinusitis,Bacterial sinusitis,Disease or Syndrome,C1262006,,,
bacterial vaginosis,Bacterial Vaginosis,Disease or Syndrome,C0085166,,,
bvs,Bacterial Vaginosis,Disease or Syndrome,C0085166,,,
bacterial vaginitis,Bacterial Vaginosis,Disease or Syndrome,C0085166,,,
bv,Bacterial Vaginosis,Disease or Syndrome,C0085166,,,
bacteriocins,bacteriocin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0004641,,,
t7 rna polymerase,bacteriophage T7 RNA polymerase,"Amino Acid, Peptide, or Protein|Enzyme",C0052908,,,
bacteriophage,Bacteriophages,Virus,C0004651,,,
bacteriophages,Bacteriophages,Virus,C0004651,,,
phage,Bacteriophages,Virus,C0004651,,,
bacteriuria,Bacteriuria,Disease or Syndrome,C0004659,,,
bactria,Bactria,Plant,C4387333,,,
bactrim,Bactrim,Organic Chemical|Pharmacologic Substance,C0591139,,,
bactrim ds,Bactrim DS,Organic Chemical|Pharmacologic Substance,C1154231,,,
bactris gasipaes,Bactris gasipaes,Plant,C1073736,,,
baculovirus,Baculoviridae,Virus,C0079005,,,
badminton,Badminton,Daily or Recreational Activity,C0004678,,,
bags,"Bag, device",Manufactured Object,C0179196,,,
bag1,"BAG1 protein, human","Amino Acid, Peptide, or Protein|Biologically Active Substance",C0379646,,,
bf,Bahamas,Geographic Area,C0004683,,,
bs,Bahamas,Geographic Area,C0004683,,,
baicalein,baicalein,Organic Chemical|Pharmacologic Substance,C0052927,,,
brp,BAINBRIDGE-ROPERS SYNDROME,Disease or Syndrome,C3809650,,,
baker,"Baker, general",Professional or Occupational Group,C0238749,,,
baking powder,Baking powder,Pharmacologic Substance|Inorganic Chemical,C0453390,,,
balance board,Balance board,Medical Device,C2721267,,,
balance diet,Balanced diet,Therapeutic or Preventive Procedure,C0452410,,,
balance salt solution,Balanced salt solution,Pharmacologic Substance|Inorganic Chemical,C0543134,,,
balanced translocation,balanced; translocation,Cell or Molecular Dysfunction,C0432448,,,
balanitis,Balanitis,Disease or Syndrome,C0004690,,,
plasma cell balanitis,Balanitis circumscripta plasmacellularis,Disease or Syndrome,C0403761,,,
zoon balanitis,Balanitis circumscripta plasmacellularis,Disease or Syndrome,C0403761,,,
balantidium,Balantidium,Eukaryote,C0004693,,,
balixafortide,balixafortide,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C4550002,,,
ballet,Ballet,Daily or Recreational Activity,C0871967,,,
balloon catheter,Balloon dilatation catheter,Medical Device,C0441127,,,
balloon inflation devices,Balloon Inflation Devices,Medical Device,C3856614,,,
baltimore,Baltimore,Geographic Area,C0004716,,,
moenomycins,Bambermycins,Organic Chemical|Antibiotic,C0004717,,,
bamboo,Bamboo extract,Organic Chemical,C1337281,,,
bambusoideae,Bambusoideae,Plant,C1091502,,,
banaba,BANABA,Pharmacologic Substance,C1576750,,,
banana,Banana,Food,C0004722,,,
bananas,Banana,Food,C0004722,,,
bandage,Bandage,Medical Device,C0004726,,,
bandages,Bandage,Medical Device,C0004726,,,
plaster of paris bandages,"Bandages, Casting, Plaster",Medical Device,C2955796,,,
pressure bandage,"Bandages, Compression/Support",Medical Device,C0179212,,,
banding,Banding procedure,Therapeutic or Preventive Procedure,C0185014,,,
bd,Bangladesh,Geographic Area,C0004732,,,
ayahuasca,Banisteriopsis,Plant,C0330913,,,
banisteriopsis,Banisteriopsis,Plant,C0330913,,,
bank,Bank (environment),Manufactured Object,C0442598,,,
banlangen,banlangen,Biologically Active Substance,C2715771,,,
banxia houpu decoction,Banxia Houpo Tang,Organic Chemical|Pharmacologic Substance,C0769581,,,
barcode,Bar Codes,Intellectual Product,C0004738,,,
baraclude,Baraclude,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",C1568876,,,
barber surgeon,Barber Surgeons,Professional or Occupational Group,C0282594,,,
barber surgeons,Barber Surgeons,Professional or Occupational Group,C0282594,,,
barbiturates,Barbiturates,Organic Chemical|Pharmacologic Substance,C0004745,,,
barefoot doctor,Barefoot Doctors,Professional or Occupational Group,C0004746,,,
barefoot,Barefoot walking,Finding,C0277844,,,
bariatric surgery,Bariatric Surgery,Therapeutic or Preventive Procedure,C1456587,,,
bariatric surgery and,Bariatric Surgery,Therapeutic or Preventive Procedure,C1456587,,,
metabolic surgery,Bariatric Surgery,Therapeutic or Preventive Procedure,C1456587,,,
weight loss surgery,Bariatric Surgery,Therapeutic or Preventive Procedure,C1456587,,,
baricitinib,baricitinib,Organic Chemical|Pharmacologic Substance,C4044947,,,
ba,Barium,"Element, Ion, or Isotope",C0004749,,,
barium enema,Barium Enema,Diagnostic Procedure,C0203075,,,
barium nitrate,barium nitrate,Inorganic Chemical,C0052977,,,
barium swallow,Barium swallow,Diagnostic Procedure,C0203065,,,
barium swallow test,Barium swallow,Diagnostic Procedure,C0203065,,,
barretts esophagus,Barrett Esophagus,Disease or Syndrome,C0004763,,,
barretts syndrome,Barrett Esophagus,Disease or Syndrome,C0004763,,,
cles,Barrett Esophagus,Disease or Syndrome,C0004763,,,
esophagus of barrett,Barrett Esophagus,Disease or Syndrome,C0004763,,,
barrett,Barrett Esophagus,Disease or Syndrome,C0004763,,,
barretts,Barrett Esophagus,Disease or Syndrome,C0004763,,,
barretts adenocarcinoma,Barrett's Adenocarcinoma,Neoplastic Process,C1332460,,,
barricaid,Barricaid,Biomedical or Dental Material,C0105231,,,
barrier,BARRIER,Medical Device,C1706912,,,
barriers,BARRIER,Medical Device,C1706912,,,
bartholin gland,Bartholin Glands,"Body Part, Organ, or Organ Component",C0004768,,,
bartogenic acid,bartogenic acid,Organic Chemical,C1999637,,,
bartter syndrome,Bartter Disease,Disease or Syndrome,C0004775,,,
bartter,Bartter Disease,Disease or Syndrome,C0004775,,,
basal cell carcinoma,Basal cell carcinoma,Neoplastic Process,C0007117,,,
bcc,Basal cell carcinoma,Neoplastic Process,C0007117,,,
gorlin syndrome,Basal Cell Nevus Syndrome,Neoplastic Process,C0004779,,,
bmr,Basal metabolic rate,Organism Function,C0678121,,,
basic,Base,Chemical Viewed Functionally,C0178499,,,
skull base,Base of skull structure,Body Location or Region,C0149543,,,
sequence,Base Sequence,Nucleotide Sequence,C0004793,,,
sequences,Base Sequence,Nucleotide Sequence,C0004793,,,
nucleotide sequence,Base Sequence,Nucleotide Sequence,C0004793,,,
basic life support,Basic life support,Therapeutic or Preventive Procedure,C0085873,,,
basic metabolic panel,Basic metabolic panel,Laboratory Procedure,C2237045,,,
basketball,Basketball game,Daily or Recreational Activity,C0004818,,,
batch,Batch (Response Modality),Intellectual Product,C1550176,,,
bathing therapy,Bath therapy,Therapeutic or Preventive Procedure,C1504484,,,
baths,Bathing,Therapeutic or Preventive Procedure,C0150141,,,
newborn bath,bathing of newborn,Health Care Activity,C2148610,,,
bathing patients,Bathing patient,Therapeutic or Preventive Procedure,C0541747,,,
finnish sauna,"Baths, Finnish",Therapeutic or Preventive Procedure,C0004836,,,
sauna,"Baths, Finnish",Therapeutic or Preventive Procedure,C0004836,,,
battered women syndrome,Battered woman syndrome,Mental or Behavioral Dysfunction,C0277729,,,
bax,Bax protein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0219474,,,
baxdela,Baxdela,Organic Chemical|Antibiotic,C4490168,,,
bbs2,BBS2 gene,Gene or Genome,C1412747,,,
bc powder,bc powder,Clinical Drug,C0305377,,,
nsp2,BCAR3 gene,Gene or Genome,C1332386,,,
bccip,BCCIP gene,Gene or Genome,C1412753,,,
bcg,BCG Vaccine,Immunologic Factor|Pharmacologic Substance,C0004886,,,
bcg vaccine,BCG Vaccine,Immunologic Factor|Pharmacologic Substance,C0004886,,,
bckdha,BCKDHA gene,Gene or Genome,C1412759,,,
bcl-2,BCL2 gene,Gene or Genome,C0376515,,,
bcl2,BCL2 gene,Gene or Genome,C0376515,,,
nix,BCL2/Adenovirus E1B 19kd Interacting Protein 3-Like,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0662972,,,
bcor,BCOR gene,Gene or Genome,C1427193,,,
bcs,BCS1L gene,Gene or Genome,C1412777,,,
bdelloidea,Bdelloidea <Rotifera>,Eukaryote,C1011516,,,
bill,Beak,"Body Part, Organ, or Organ Component",C0004895,,,
bean pod mottle virus,Bean pod mottle virus,Virus,C0598202,,,
beans,Beans (food),Food,C0004896,,,
uva ursi,Bearberry,Plant,C0770993,,,
bpm,beats per minute,Quantitative Concept,C0439385,,,
rebecca,becatecarin,Organic Chemical|Antibiotic,C0936065,,,
beck depression inventory,Beck depression inventory,Intellectual Product,C0451022,,,
beck hopelessness scale,Beck hopelessness scale,Intellectual Product,C0582612,,,
becker muscular dystrophy,Becker Muscular Dystrophy,Disease or Syndrome,C0917713,,,
beckers muscular dystrophy,Becker Muscular Dystrophy,Disease or Syndrome,C0917713,,,
beckwith-wiedemann,Beckwith-Wiedemann Syndrome,Disease or Syndrome,C0004903,,,
wbs,Beckwith-Wiedemann Syndrome,Disease or Syndrome,C0004903,,,
beclomethasone,Beclomethasone,Organic Chemical|Hormone|Pharmacologic Substance,C0004905,,,
sheet,Bed sheets,Medical Device,C0183235,,,
bed-ridden,Bed-ridden,Finding,C0425251,,,
bedridden patients,Bed-ridden,Finding,C0425251,,,
bed bug,Bedbugs,Eukaryote,C0004913,,,
bedbugs,Bedbugs,Eukaryote,C0004913,,,
bed,Beds,Manufactured Object,C0004916,,,
bedrails,Bedside rails,Medical Device,C0179266,,,
sleep hours,Bedtime (qualifier value),Temporal Concept,C0521112,,,
hs,Bedtime (qualifier value),Temporal Concept,C0521112,,,
nocturnal enuresis,Bedwetting,Mental or Behavioral Dysfunction,C0270327,,,
bed wetting,Bedwetting,Mental or Behavioral Dysfunction,C0270327,,,
bee pollen,Bee pollen,Organic Chemical|Pharmacologic Substance,C0795585,,,
bee sting,Bee sting,Injury or Poisoning,C0413120,,,
bee stings,Bee sting,Injury or Poisoning,C0413120,,,
bee venom,Bee Venoms,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Hazardous or Poisonous Substance",C0004920,,,
tallow,beef tallow preparation,Organic Chemical,C0075785,,,
beer,Beer,Food,C0004922,,,
beers,Beer,Food,C0004922,,,
beers criteria,Beers Criteria,Qualitative Concept,C4042847,,,
bee,Bees,Eukaryote,C0004923,,,
beeswax,beeswax,Biomedical or Dental Material,C0004924,,,
beet root powder,Beet Root Powder,Food,C3199511,,,
beetroot,Beetroot,Food,C0453112,,,
beet juice,Beets preparation,Organic Chemical|Pharmacologic Substance,C1095905,,,
beetroot juice,Beets preparation,Organic Chemical|Pharmacologic Substance,C1095905,,,
start,Beginning,Temporal Concept,C0439659,,,
behavior,Behavior,Behavior,C0004927,,,
behavioral,Behavior,Behavior,C0004927,,,
behaviour,Behavior,Behavior,C0004927,,,
behavioral disorder,Behavior Disorders,Mental or Behavioral Dysfunction,C0004930,,,
behavioral disorders,Behavior Disorders,Mental or Behavioral Dysfunction,C0004930,,,
behavior modification,Behavior Therapy,Therapeutic or Preventive Procedure,C0004933,,,
behavioral and interventions,Behavior Therapy,Therapeutic or Preventive Procedure,C0004933,,,
animal behavior,"Behavior, Animal",Behavior,C0004935,,,
ethology animal,"Behavior, Animal",Behavior,C0004935,,,
behavior change,Behavioral change,Individual Behavior,C0542299,,,
changing behavior,Behavioral change,Individual Behavior,C0542299,,,
behaviour change,Behavioral change,Individual Behavior,C0542299,,,
behavioral health,Behavioral health,Biomedical Occupation or Discipline,C0870196,,,
behavioural inattention test,Behavioral inattention test,Intellectual Product,C0475484,,,
behavioral science,Behavioral Sciences,Occupation or Discipline,C0004940,,,
social and behavioral sciences,behavioral/social science,Intellectual Product,C0596159,,,
habits,Behaviorial Habits,Individual Behavior,C0018464,,,
bpsd,Behavioural and psychiatric symptoms of dementia,Mental or Behavioral Dysfunction,C1868717,,,
behcet,Behcet Syndrome,Disease or Syndrome,C0004943,,,
behcets,Behcet Syndrome,Disease or Syndrome,C0004943,,,
behcets disease,Behcet Syndrome,Disease or Syndrome,C0004943,,,
behcets syndrome,Behcet Syndrome,Disease or Syndrome,C0004943,,,
peking,Beijing,Geographic Area,C4042832,,,
belatacept,belatacept,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C1619962,,,
belief,Beliefs,Idea or Concept,C0004951,,,
beliefs,Beliefs,Idea or Concept,C0004951,,,
bell,Bell Device Component,Manufactured Object,C1706917,,,
bells paralysis,Bell Palsy,Disease or Syndrome,C0376175,,,
bells phenomenon,Bell's phenomenon,Finding,C0278216,,,
atropa belladonna,Belladonna (plant),Plant,C0004953,,,
belladonna,Belladonna (plant),Plant,C0004953,,,
gait belt,Belt Gait,Medical Device,C0725328,,,
gait belts,Belt Gait,Medical Device,C0725328,,,
benadryl,Benadryl,Organic Chemical|Pharmacologic Substance,C0700899,,,
benazepril,benazepril,Organic Chemical|Pharmacologic Substance,C0053091,,,
benazepril hydrochlorothiazide,benazepril / Hydrochlorothiazide,Pharmacologic Substance,C0717481,,,
benchmarking,Benchmarking,Quantitative Concept,C0525063,,,
benchmarks,Benchmarking,Quantitative Concept,C0525063,,,
benefits,benefit,Quantitative Concept,C0814225,,,
breastfeeding benefits,Benefits of breastfeeding,Finding,C0517672,,,
exercise benefit,Benefits of Exercise,Individual Behavior,C4529957,,,
exercise benefits,Benefits of Exercise,Individual Behavior,C4529957,,,
benidipine,benidipine,Organic Chemical|Pharmacologic Substance,C0053108,,,
benign,Benign,Qualitative Concept,C0205183,,,
benign bone tumors,Benign bone neoplasm,Neoplastic Process,C0684516,,,
benign essential hypertension,Benign essential hypertension (disorder),Disease or Syndrome,C0155583,,,
benign tumors,Benign Neoplasm,Neoplastic Process,C0086692,,,
benign breast tumor,Benign neoplasm of breast,Neoplastic Process,C0346156,,,
benign neoplasm of breast,Benign neoplasm of female breast,Neoplastic Process,C0235922,,,
benign ovary tumor,Benign Ovarian Neoplasm,Neoplastic Process,C0004997,,,
benign positional vertigo,Benign Paroxysmal Positional Vertigo,Disease or Syndrome,C0155502,,,
bppv,Benign Paroxysmal Positional Vertigo,Disease or Syndrome,C0155502,,,
benign prostate hyperplasia,Benign Prostatic Hyperplasia,Disease or Syndrome,C1704272,,,
benign prostatic hyperplasia,Benign Prostatic Hyperplasia,Disease or Syndrome,C1704272,,,
hyperplasia prostate,Benign Prostatic Hyperplasia,Disease or Syndrome,C1704272,,,
benign prostatic hypertrophy,Benign prostatic hypertrophy,Pathologic Function,C0005001,,,
bph,Benign prostatic hypertrophy,Pathologic Function,C0005001,,,
enlarged prostate bph,Benign prostatic hypertrophy,Pathologic Function,C0005001,,,
bjs,Benin Republic,Geographic Area,C0005005,,,
benjamin syndrome,Benjamin syndrome,Disease or Syndrome,C0796141,,,
benlysta,Benlysta,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C2980433,,,
benfotiamine,benphothiamine,Organic Chemical|Vitamin,C0053116,,,
benralizumab,benralizumab,Immunologic Factor|Pharmacologic Substance,C2982078,,,
bentazone,bentazone,Organic Chemical|Hazardous or Poisonous Substance,C0053118,,,
bentonite clay,Bentonite,Pharmacologic Substance|Inorganic Chemical,C0005018,,,
bentyl,Bentyl,Organic Chemical|Pharmacologic Substance,C0700023,,,
benzaldehyde,benzaldehyde,"Organic Chemical|Indicator, Reagent, or Diagnostic Aid",C0005023,,,
benzalkonium chloride,Benzalkonium Chloride,Organic Chemical|Pharmacologic Substance,C0005026,,,
benzathine,benzathine,Organic Chemical,C0053153,,,
benzazepine,Benzazepines,Organic Chemical,C0005034,,,
benzene,Benzene,Organic Chemical|Hazardous or Poisonous Substance,C0005036,,,
benznidazole,benznidazole,Organic Chemical|Pharmacologic Substance,C0053230,,,
benzocaine,Benzocaine,Organic Chemical|Pharmacologic Substance,C0005059,,,
benzocaine clove oil,Benzocaine / Clove oil,Pharmacologic Substance,C1874516,,,
benzodiazepine abuse,benzodiazepine abuse,Mental or Behavioral Dysfunction,C2062763,,,
benzodiazepine withdrawal,Benzodiazepine withdrawal,Mental or Behavioral Dysfunction,C2062728,,,
benzodiazepine,Benzodiazepines,Organic Chemical|Pharmacologic Substance,C0005064,,,
benzodiazepines,Benzodiazepines,Organic Chemical|Pharmacologic Substance,C0005064,,,
benzoic acid,Benzoic Acid,Organic Chemical|Pharmacologic Substance,C0053225,,,
benzonatate,benzonatate,Organic Chemical|Pharmacologic Substance,C0053229,,,
benzonatate 200 mg,benzonatate 200 MG,Clinical Drug,C1124585,,,
benzophenone,Benzophenones,Organic Chemical,C0005077,,,
benzoapyrene,Benzopyrenes,Organic Chemical|Hazardous or Poisonous Substance,C0005082,,,
benzoxazinone,Benzoxazinones,Organic Chemical,C1956427,,,
benzoyl peroxide allergy,Benzoyl peroxide allergy,Disease or Syndrome,C0571119,,,
benzoyl peroxide topical,Benzoyl Peroxide Topical Product,Clinical Drug,C3207484,,,
benztropine,Benztropine,Organic Chemical|Pharmacologic Substance,C0005098,,,
benzydamine,Benzydamine,Organic Chemical|Pharmacologic Substance,C0005099,,,
benzydamine hcl,Benzydamine Hydrochloride,Organic Chemical|Pharmacologic Substance,C0282070,,,
benzyl alcohol,Benzyl Alcohol,Organic Chemical|Pharmacologic Substance,C0005100,,,
benzyl alcohol topical,Benzyl Alcohol Topical Product,Clinical Drug,C3207754,,,
benzyl benzoate,benzyl benzoate,Organic Chemical|Hazardous or Poisonous Substance,C0053289,,,
berberine,Berberine,Organic Chemical|Pharmacologic Substance,C0005117,,,
bereavement,Bereavement,Mental Process,C0005119,,,
berg balance test,Berg balance test,Diagnostic Procedure,C1321053,,,
bergamot,Bergamot,Pharmacologic Substance,C0725330,,,
citrus bergamia,Bergamot,Pharmacologic Substance,C0725330,,,
beriberi,Beriberi,Disease or Syndrome,C0005122,,,
beri beri,Beriberi,Disease or Syndrome,C0005122,,,
bm,Bermuda,Geographic Area,C0005126,,,
bss,Bernard-Soulier Syndrome,Disease or Syndrome,C0005129,,,
bernard soulier syndrome,Bernard-Soulier Syndrome,Disease or Syndrome,C0005129,,,
bernheim,Bernheim's syndrome,Disease or Syndrome,C0264729,,,
berotec,Berotek,Organic Chemical|Pharmacologic Substance,C0591168,,,
beryllium,Beryllium,"Element, Ion, or Isotope|Hazardous or Poisonous Substance",C0005139,,,
bc,Best Case Imputation Technique,Quantitative Concept,C2984916,,,
best practice,Best Practices,Idea or Concept,C3179154,,,
best practices,Best Practices,Idea or Concept,C3179154,,,
beta amyloid,Beta Amyloid Measurement,Laboratory Procedure,C2825879,,,
beta-carotene,Beta Carotene,Organic Chemical|Vitamin|Pharmacologic Substance,C0053396,,,
beta catenin,beta catenin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0105770,,,
beta lactoglobulins,beta Lactoglobulin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0005248,,,
beta,Beta plant,Plant,C0330390,,,
beta sitosterol,beta Sitosterol,Organic Chemical|Pharmacologic Substance,C0106127,,,
beta-sitosterol,beta Sitosterol,Organic Chemical|Pharmacologic Substance,C0106127,,,
beta thalassemia,beta Thalassemia,Disease or Syndrome,C0005283,,,
thalassemia beta,beta Thalassemia,Disease or Syndrome,C0005283,,,
b thalassemia,beta Thalassemia,Disease or Syndrome,C0005283,,,
beets,Beta vulgaris,Plant,C0330391,,,
beet,Beta vulgaris,Plant,C0330391,,,
beet root,Beta vulgaris homeopathic preparation,Organic Chemical|Pharmacologic Substance,C0939831,,,
adrb2,beta-2 Adrenergic Receptors,"Receptor|Amino Acid, Peptide, or Protein",C0001643,,,
bar,beta-2 Adrenergic Receptors,"Receptor|Amino Acid, Peptide, or Protein",C0001643,,,
beta 2 microglobulin,beta-2 Microglobulin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0005149,,,
beta alanine,beta-Alanine,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C0000392,,,
beta-alanine,beta-Alanine,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C0000392,,,
baba,Beta-Aminobutyric Acid Measurement,Laboratory Procedure,C4722402,,,
beta-endorphin,beta-Endorphin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0005210,,,
lactase,beta-Galactosidase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",C0005220,,,
beta globin,beta-Globins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0005221,,,
beta glucan,beta-Glucans,Organic Chemical|Pharmacologic Substance,C1134651,,,
beta glucans,beta-Glucans,Organic Chemical|Pharmacologic Substance,C1134651,,,
beta-glucosidase,beta-Glucosidase,"Amino Acid, Peptide, or Protein|Enzyme",C0005223,,,
hmb supplement,Beta-hydroxy-beta-methylbutyrate Supplement,Pharmacologic Substance,C3640807,,,
3-hydroxymyristic acid,beta-hydroxymyristic acid,Organic Chemical|Biologically Active Substance,C0053456,,,
beta ionone,beta-ionone,Organic Chemical,C0053463,,,
beta lactamase,beta-Lactamase,"Amino Acid, Peptide, or Protein|Enzyme",C0597979,,,
beta lactam,beta-Lactams,Organic Chemical|Antibiotic,C0282215,,,
hinokitiol,beta-thujaplicin,Organic Chemical|Pharmacologic Substance,C0053508,,,
thujone,beta-thujone,Organic Chemical|Pharmacologic Substance,C0053509,,,
beta zero thalassemia,beta^0^ Thalassemia,Disease or Syndrome,C0271980,,,
beta cyclodextrin,betadex,Organic Chemical|Biomedical or Dental Material,C0053407,,,
betaine,Betaine,Organic Chemical|Pharmacologic Substance,C0005304,,,
tmg,Betaine,Organic Chemical|Pharmacologic Substance,C0005304,,,
betalain,Betalains,Organic Chemical,C0600766,,,
betametasona,Betamethasone,Organic Chemical|Hormone|Pharmacologic Substance,C0005308,,,
betamethasone topical,Betamethasone Topical Product,Clinical Drug,C0358518,,,
betamethasone valerate,Betamethasone valerate,Organic Chemical|Pharmacologic Substance,C0750848,,,
betaseron,Betaseron,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0284968,,,
betrixaban,betrixaban,Organic Chemical|Pharmacologic Substance,C2698385,,,
birch,Betula Genus,Plant,C0330312,,,
betulin,betulin,Organic Chemical|Pharmacologic Substance,C0053529,,,
anti vegf,bevacizumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0796392,,,
bevacizumab,bevacizumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0796392,,,
beverage,Beverages,Food,C0005329,,,
beverages,Beverages,Food,C0005329,,,
bex1,BEX1 gene,Gene or Genome,C1412787,,,
bexsero,Bexsero,Immunologic Factor|Pharmacologic Substance,C3853911,,,
bezafibrato,Bezafibrate,Organic Chemical|Pharmacologic Substance,C0005330,,,
bezlotoxumab,bezlotoxumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C4291320,,,
dec2,BHLHE41 gene,Gene or Genome,C1424440,,,
bt,Bhutan,Geographic Area,C0005341,,,
val-083,Bi-functional Alkylating Agent VAL-083,Organic Chemical|Pharmacologic Substance,C3274620,,,
bia,Bia (butterflies),Eukaryote|Eukaryote,C1061346,,,
bias,Bias (Epidemiology),Idea or Concept,C0005346,,,
aggregation bias,"Bias, Aggregation",Idea or Concept,C0001806,,,
bibliographic references,Bibliographic Reference,Intellectual Product,C1514811,,,
reference,Bibliographic Reference,Intellectual Product,C1514811,,,
references,Bibliographic Reference,Intellectual Product,C1514811,,,
referencing,Bibliographic Reference,Intellectual Product,C1514811,,,
bibliographies,Bibliography,Intellectual Product|Manufactured Object,C0005358,,,
